2026-05-26 15:50:22.166 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=18 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:22.907 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=19 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:23.610 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=20 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:24.399 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=21 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:25.195 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=22 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:25.969 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=23 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:27.446 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=24 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:29.198 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=25 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:30.006 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=26 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:33.537 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=27 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:34.319 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=28 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

