2026-04-30 23:49:34.211 | INFO     | app.main:lifespan:111 | [Shutdown] ✅ 已安全关闭
2026-04-30 23:49:34.212 | INFO     | app.main:lifespan:112 | ============================================================
2026-04-30 23:49:39.224 | INFO     | app.main:setup_logging:77 | 日志系统已初始化 | 文件: ./logs/app.log | 错误: logs\app.error.log
2026-04-30 23:49:39.225 | INFO     | app.main:lifespan:83 | ============================================================
2026-04-30 23:49:39.225 | INFO     | app.main:lifespan:84 | 🚀 书房管理系统 v2.0.0 启动中...
2026-04-30 23:49:39.226 | INFO     | app.main:lifespan:85 | ============================================================
2026-04-30 23:49:39.237 | INFO     | app.main:lifespan:91 | [Startup] ✅ 数据库表初始化完成
2026-04-30 23:49:39.307 | INFO     | app.main:lifespan:100 | [Startup] ✅ 种子数据初始化完成
2026-04-30 23:49:39.308 | INFO     | app.main:lifespan:104 | [Startup] ✅ http://0.0.0.0:8000 | /docs | /health
2026-04-30 23:49:39.308 | INFO     | app.main:lifespan:105 | ============================================================
2026-04-30 23:50:17.738 | INFO     | app.main:lifespan:107 | ============================================================
2026-04-30 23:50:17.739 | INFO     | app.main:lifespan:108 | 🛑 书房管理系统 正在关闭...
2026-04-30 23:50:17.740 | INFO     | app.main:lifespan:109 | ============================================================
2026-04-30 23:50:17.749 | INFO     | app.main:lifespan:111 | [Shutdown] ✅ 已安全关闭
2026-04-30 23:50:17.751 | INFO     | app.main:lifespan:112 | ============================================================
2026-04-30 23:50:23.888 | INFO     | app.main:setup_logging:77 | 日志系统已初始化 | 文件: ./logs/app.log | 错误: logs\app.error.log
2026-04-30 23:50:23.889 | INFO     | app.main:lifespan:83 | ============================================================
2026-04-30 23:50:23.889 | INFO     | app.main:lifespan:84 | 🚀 书房管理系统 v2.0.0 启动中...
2026-04-30 23:50:23.890 | INFO     | app.main:lifespan:85 | ============================================================
2026-04-30 23:50:23.900 | INFO     | app.main:lifespan:91 | [Startup] ✅ 数据库表初始化完成
2026-04-30 23:50:23.992 | INFO     | app.main:lifespan:100 | [Startup] ✅ 种子数据初始化完成
2026-04-30 23:50:23.992 | INFO     | app.main:lifespan:104 | [Startup] ✅ http://0.0.0.0:8000 | /docs | /health
2026-04-30 23:50:23.993 | INFO     | app.main:lifespan:105 | ============================================================
2026-04-30 23:50:30.304 | INFO     | app.main:setup_logging:77 | 日志系统已初始化 | 文件: ./logs/app.log | 错误: logs\app.error.log
2026-04-30 23:50:30.305 | INFO     | app.main:lifespan:83 | ============================================================
2026-04-30 23:50:30.306 | INFO     | app.main:lifespan:84 | 🚀 书房管理系统 v2.0.0 启动中...
2026-04-30 23:50:30.307 | INFO     | app.main:lifespan:85 | ============================================================
2026-04-30 23:50:30.323 | INFO     | app.main:lifespan:91 | [Startup] ✅ 数据库表初始化完成
2026-04-30 23:50:30.438 | INFO     | app.main:lifespan:100 | [Startup] ✅ 种子数据初始化完成
2026-04-30 23:50:30.438 | INFO     | app.main:lifespan:104 | [Startup] ✅ http://0.0.0.0:8000 | /docs | /health
2026-04-30 23:50:30.439 | INFO     | app.main:lifespan:105 | ============================================================
2026-04-30 23:50:35.878 | INFO     | app.main:setup_logging:77 | 日志系统已初始化 | 文件: ./logs/app.log | 错误: logs\app.error.log
2026-04-30 23:50:35.879 | INFO     | app.main:lifespan:83 | ============================================================
2026-04-30 23:50:35.879 | INFO     | app.main:lifespan:84 | 🚀 书房管理系统 v2.0.0 启动中...
2026-04-30 23:50:35.880 | INFO     | app.main:lifespan:85 | ============================================================
2026-04-30 23:50:35.889 | INFO     | app.main:lifespan:91 | [Startup] ✅ 数据库表初始化完成
2026-04-30 23:50:35.981 | INFO     | app.main:lifespan:100 | [Startup] ✅ 种子数据初始化完成
2026-04-30 23:50:35.982 | INFO     | app.main:lifespan:104 | [Startup] ✅ http://0.0.0.0:8000 | /docs | /health
2026-04-30 23:50:35.982 | INFO     | app.main:lifespan:105 | ============================================================
2026-04-30 23:52:14.237 | INFO     | app.main:lifespan:107 | ============================================================
2026-04-30 23:52:14.238 | INFO     | app.main:lifespan:108 | 🛑 书房管理系统 正在关闭...
2026-04-30 23:52:14.238 | INFO     | app.main:lifespan:109 | ============================================================
2026-04-30 23:52:14.243 | INFO     | app.main:lifespan:111 | [Shutdown] ✅ 已安全关闭
2026-04-30 23:52:14.244 | INFO     | app.main:lifespan:112 | ============================================================
2026-04-30 23:52:19.952 | INFO     | app.main:setup_logging:77 | 日志系统已初始化 | 文件: ./logs/app.log | 错误: logs\app.error.log
2026-04-30 23:52:19.953 | INFO     | app.main:lifespan:83 | ============================================================
2026-04-30 23:52:19.953 | INFO     | app.main:lifespan:84 | 🚀 书房管理系统 v2.0.0 启动中...
2026-04-30 23:52:19.954 | INFO     | app.main:lifespan:85 | ============================================================
2026-04-30 23:52:19.965 | INFO     | app.main:lifespan:91 | [Startup] ✅ 数据库表初始化完成
2026-04-30 23:52:20.060 | INFO     | app.main:lifespan:100 | [Startup] ✅ 种子数据初始化完成
2026-04-30 23:52:20.061 | INFO     | app.main:lifespan:104 | [Startup] ✅ http://0.0.0.0:8000 | /docs | /health
2026-04-30 23:52:20.061 | INFO     | app.main:lifespan:105 | ============================================================
2026-04-30 23:53:50.547 | INFO     | app.main:lifespan:107 | ============================================================
2026-04-30 23:53:50.547 | INFO     | app.main:lifespan:108 | 🛑 书房管理系统 正在关闭...
2026-04-30 23:53:50.548 | INFO     | app.main:lifespan:109 | ============================================================
2026-04-30 23:53:50.552 | INFO     | app.main:lifespan:111 | [Shutdown] ✅ 已安全关闭
2026-04-30 23:53:50.553 | INFO     | app.main:lifespan:112 | ============================================================
2026-04-30 23:53:56.382 | INFO     | app.main:setup_logging:77 | 日志系统已初始化 | 文件: ./logs/app.log | 错误: logs\app.error.log
2026-04-30 23:53:56.383 | INFO     | app.main:lifespan:83 | ============================================================
2026-04-30 23:53:56.383 | INFO     | app.main:lifespan:84 | 🚀 书房管理系统 v2.0.0 启动中...
2026-04-30 23:53:56.384 | INFO     | app.main:lifespan:85 | ============================================================
2026-04-30 23:53:56.393 | INFO     | app.main:lifespan:91 | [Startup] ✅ 数据库表初始化完成
2026-04-30 23:53:56.477 | INFO     | app.main:lifespan:100 | [Startup] ✅ 种子数据初始化完成
2026-04-30 23:53:56.477 | INFO     | app.main:lifespan:104 | [Startup] ✅ http://0.0.0.0:8000 | /docs | /health
2026-04-30 23:53:56.478 | INFO     | app.main:lifespan:105 | ============================================================
2026-04-30 23:56:31.319 | INFO     | app.main:lifespan:107 | ============================================================
2026-04-30 23:56:31.320 | INFO     | app.main:lifespan:108 | 🛑 书房管理系统 正在关闭...
2026-04-30 23:56:31.321 | INFO     | app.main:lifespan:109 | ============================================================
2026-04-30 23:56:31.328 | INFO     | app.main:lifespan:111 | [Shutdown] ✅ 已安全关闭
2026-04-30 23:56:31.330 | INFO     | app.main:lifespan:112 | ============================================================
